MAESP 5 (Halinat Umawit at Gumuhit ) TX,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_5
Science Beyond Borders 5 TM,,pcs,0,95,95,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_5
Science Beyond Borders 5 TX,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_5
Ugnayang Pilipino sa Makabagong Panahon (ESP ) 5 TM,,pcs,0,95,95,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_5
Ugnayang Pilipino sa Makabagong Panahon (ESP ) 5 TX,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_5
Science 6 TX,,pcs,0,49,49,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_6
Science 6 TM,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_6
PE and Health for Fun (6),,pcs,0,0,0,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_6
English 6 -Joy in Learning English TG,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_6
English 6 -Joy in Learning English  LM,,pcs,0,130,130,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_6
Alab Filipino 6 TX,,pcs,0,93,93,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_6
Alab Filipino  6 TM,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_6
21st Century Mathematics 6 Teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_6
21st Century Mathematics 6 Learner's Material,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_6
 Ugaling Pilipino sa Makabagong Panahon 6 Teacher's Manual,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_6
 Ugaling Pilipino sa Makabagong Panahon 6 Learner's Material,,pcs,0,93,93,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_6
"3'AS Awake, Alert, Alive",,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,
"Databasing, Budgeting and Networking",,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,
Early Childhood Development (ECD),,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,
Enforcement of GAD Policies,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,
GAD (Gender and Development),,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,
Gender Mainstreaming Elementss in PPA'S,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,
Implementation of GAD Policies,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,
Integrating and Consolidating Gender Efforts,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,
Integrating Gender and Development,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,
Manipulative Toys ( Tangram),,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,
Manipulative Toys (Filipino Alphabet),,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,
Manipulative Toys (Lacing Bids),,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,
Manipulative Toys Board Puzzle,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,
Manipulative Toys Shape Sorter,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,
Puzzle Upper Case,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,
Quality Accesible Relevant and LIberating Education for All,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,
Resource Materials for IEC Campaign,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,
"Stracture, system and the GAD Focal Points",,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,
Manipulative Toys (Shape Lacing Cards),,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,
Bright Big Books,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,
Science and Health Laboratory Manual 3,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,
Science and Health Laboratory Manual 4,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,
Scienergy - (TIMSS),,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,
"Alcohol Burner, 150 ml capacity",,pcs,0,5,5,0,0,0,In Good Condition,Science Equipment,Supplied by DepEd,
Classroom Thermometer,,,0,,,0,0,0,In Good Condition,Science Equipment,Supplied by DepEd,
"Dry Cell Holder, for size D Dry Cell",,pcs,0,2,2,0,0,0,In Good Condition,Science Equipment,Supplied by DepEd,
Flashlights with Incandescent  Bulb,,pcs,0,1,1,0,0,0,In Good Condition,Science Equipment,Supplied by DepEd,
"Graduated Cylinder 250 ml., Plastic",,pcs,0,5,5,0,0,0,In Good Condition,Science Equipment,Supplied by DepEd,
Hand Magnefying Lens,,pcs,0,7,7,0,0,0,In Good Condition,Science Equipment,Supplied by DepEd,
Human Torso Model (Miniature Type),,pcs,0,2,2,0,0,0,In Good Condition,Science Equipment,Supplied by DepEd,
Model of Invertebrates,,pcs,0,3,3,0,0,0,In Good Condition,Science Equipment,Supplied by DepEd,
